Keyword,Page type,Location,Tag,content_block,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
seafood tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,70,133%,-36%,Low,70,110,90,90,140,50,50,50,30,30,40,70
seafront barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,-22%,Low,90,70,110,70,70,70,70,50,50,70,70,70
secret places barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,-29%,Low,70,110,90,70,90,70,50,40,30,50,40,50
shopping em barcelona espanha,City PDP,Barcelona,Shopping,Unclassified,70,0%,120%,Low,50,50,30,50,50,70,90,50,110,110,90,110
shopping place in barcelona,City PDP,Barcelona,Shopping,Unclassified,70,67%,-44%,Low,70,90,70,70,70,40,70,140,50,30,40,50
sight seeing barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,29%,29%,High,70,90,90,90,70,70,70,50,50,70,90,90
souvenirs to buy in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,-29%,Low,70,90,90,50,50,70,70,50,40,50,50,50
spain travel barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,-50%,75%,Low,30,90,50,50,30,50,90,70,90,140,50,70
special food in barcelona,City PDP,Barcelona,Food & drink,Things to do block,70,40%,-22%,Low,90,110,70,90,70,90,70,70,70,50,50,70
street art poblenou,City PDP,Barcelona,Art & culture,Unclassified,70,133%,0%,Low,110,140,70,70,110,70,70,70,30,30,70,70
sunday roast barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,40%,-22%,Low,70,40,50,40,50,50,70,110,70,50,50,70
t2 bus barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,25%,-29%,Low,70,70,90,90,50,70,50,50,50,40,50,50
tacos halal barcelone,City PDP,Barcelona,Misc & branded queries,Unclassified,70,-29%,-29%,Low,110,70,50,70,170,50,50,70,110,70,40,50
tapas halal barcelone,City PDP,Barcelona,Food & drink,Things to do block,70,0%,100%,Low,170,90,40,90,170,20,30,20,70,40,30,40
tapas i barcelona,City PDP,Barcelona,Food & drink,Things to do block,70,-20%,-56%,Medium,110,70,70,90,90,90,50,70,20,50,40,40
ten's tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,70,0%,-22%,Low,70,70,70,50,50,50,70,50,50,70,90,70
the best churros in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,-29%,-44%,Low,90,90,50,70,90,50,70,40,50,70,30,50
the best places to visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,70,0%,-55%,High,110,90,70,70,70,90,70,40,40,50,50,50
things to do in barcelona city centre,City PDP,Barcelona,Activities & experiences,Things to do block,70,0%,-29%,High,70,70,70,90,110,90,90,50,30,50,70,50
things to do in barcelona for teens,City PDP,Barcelona,Activities & experiences,Things to do block,70,-22%,40%,Medium,90,70,70,70,50,50,50,50,40,90,50,70
things to do in barcelona for young adults,City PDP,Barcelona,Activities & experiences,Things to do block,70,0%,-36%,Medium,110,110,90,70,70,50,50,20,40,70,70,70
things to do in central barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,70,0%,-29%,High,70,70,70,90,110,90,90,50,30,50,70,50
things to do with teens in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,70,-22%,40%,Medium,90,70,70,70,50,50,50,50,40,90,50,70
things to know about barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,-44%,Low,90,140,70,70,70,90,50,50,40,50,50,50
things to see in barcelona in 3 days,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,70,-29%,-55%,High,140,110,110,30,50,90,50,50,40,70,50,50
tmb buses barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,75%,40%,Low,50,70,90,90,50,90,70,30,40,40,50,70
tmb cat barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,29%,Low,90,90,50,50,110,70,90,50,50,90,90,90
tmb transports metropolitans de barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,-56%,-20%,Low,40,70,50,50,140,140,70,50,90,90,40,40
to do barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,120%,High,50,70,50,70,70,90,90,40,50,110,90,110
top 20 things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,70,0%,-29%,High,110,90,70,90,50,70,50,40,40,50,40,50
top 20 things to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,70,0%,-29%,High,110,90,70,90,50,70,50,40,40,50,40,50
top 3 attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,70,0%,-22%,High,90,90,90,70,70,90,70,50,40,70,50,70
top 3 things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,70,0%,-22%,High,90,90,90,70,70,90,70,50,40,70,50,70
top food barcelona,City PDP,Barcelona,Food & drink,Unclassified,70,-22%,-36%,Low,70,70,90,70,70,70,50,40,70,90,110,70
top things to do in barcelona in 2 days,City PDP,Barcelona,Activities & experiences,Things to do block,70,57%,57%,High,70,70,20,70,70,70,50,90,40,70,90,110
tossa de mar day trip from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,70,125%,29%,Medium,30,110,70,110,140,90,40,20,20,40,50,90
traditional clothing in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,40%,0%,Low,70,110,40,40,50,210,50,50,40,50,40,70
train from barcelona to montserrat monastery,City PDP,Barcelona,Nearby & day trips,Nearby block,70,75%,250%,Medium,10,30,320,170,40,30,30,110,40,40,50,70
transport barcelona girona airport,City PDP,Barcelona,Getting there & local transport,Unclassified,70,75%,-36%,High,140,110,90,70,70,50,50,40,20,40,50,70
transport barcelona salou,City PDP,Barcelona,Misc & branded queries,Unclassified,70,-29%,0%,High,50,90,90,110,70,70,40,20,30,70,50,50
transport from girona airport to barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,70,25%,-44%,High,140,70,70,70,40,70,50,40,40,40,70,50
transport metropolitan barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,40%,0%,Low,90,70,90,70,70,70,50,40,40,50,50,70
traveling to barcelona in august,City PDP,Barcelona,Misc & branded queries,H1,70,0%,-50%,Low,40,70,140,260,320,10,10,10,10,10,10,10
turkish food barcelona,City PDP,Barcelona,Food & drink,Unclassified,70,57%,-21%,Low,70,70,70,110,140,70,70,40,70,70,50,110
vegan ramen barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,70,0%,-47%,Low,90,70,90,40,50,90,70,90,70,90,70,90
vegetarian friendly restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,70,0%,-43%,Low,110,70,70,90,50,70,90,70,50,40,40,40
venezuelan restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,70,-44%,-55%,Low,110,110,90,70,50,70,110,90,50,90,70,50
video game store barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,600%,56%,Low,110,50,110,90,50,30,40,30,40,20,40,140
visit a city barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,-67%,High,70,70,40,210,50,50,50,50,30,30,40,30
visit barcelona in november,City PDP,Barcelona,Misc & branded queries,H1,70,-33%,0%,Low,30,20,40,320,70,90,110,50,10,30,10,20
visitacity barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,0%,-67%,High,70,70,40,210,50,50,50,50,30,30,40,30
w beach barcelona,City PDP,Barcelona,Beaches & water,Things to do block,70,67%,-29%,Medium,70,90,140,140,110,50,40,20,20,30,30,50
water activities in barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,70,200%,80%,Low,70,90,90,110,70,40,40,30,20,30,70,90
women's clothing barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,70,25%,-29%,High,90,110,110,50,40,70,40,50,30,40,70,50
10 places to visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,50,33%,-43%,High,50,50,40,50,70,50,70,30,20,30,40,40
2 day trip to barcelona,City PDP,Barcelona,Nearby & day trips,H1,50,-20%,-43%,High,70,90,50,70,70,50,50,50,30,50,40,40
3 day trip to barcelona,City PDP,Barcelona,Nearby & day trips,H1,50,-29%,0%,High,70,50,70,50,40,50,40,40,40,70,50,50
5 things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,50,40%,40%,Medium,70,90,40,40,40,50,50,10,30,50,40,70
a1 airport bus barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,50,33%,-20%,Low,50,70,90,70,70,70,70,30,40,30,20,40
adrenaline activities barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,50,25%,-29%,High,70,50,50,50,50,40,70,30,30,40,30,50
aeroport barcelona transport,City PDP,Barcelona,Misc & branded queries,Unclassified,50,-20%,-43%,Medium,70,40,40,50,50,50,50,30,40,50,50,40
anita ice cream barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,200%,-25%,Low,70,70,70,70,70,70,50,30,10,10,20,30
arabic restaurant in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,25%,-29%,Low,70,40,50,70,70,50,50,20,40,40,50,50
asian fusion restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,0%,40%,Low,50,70,70,50,50,40,40,30,30,70,50,70
asian restaurant in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,-20%,0%,Low,40,70,170,30,30,40,30,30,10,50,20,40
aspic restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,40%,75%,Low,30,50,70,30,50,30,70,70,70,50,20,70
authentic barcelona food,City PDP,Barcelona,Food & drink,Things to do block,50,33%,0%,Low,50,70,70,70,40,50,30,40,30,30,30,40
authentic food in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,33%,0%,Low,50,70,70,70,40,50,30,40,30,30,30,40
balenciaga outlet barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,-20%,0%,High,50,50,50,40,30,30,40,50,40,50,50,40
bao bun barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,133%,40%,Low,70,50,70,70,70,50,50,30,40,30,50,70
barcelona 2 days trip,City PDP,Barcelona,Misc & branded queries,Unclassified,50,-20%,-43%,High,70,90,50,70,70,50,50,50,30,50,40,40
barcelona activities for young adults,City PDP,Barcelona,Activities & experiences,Things to do block,50,0%,-67%,High,90,70,90,90,70,50,40,30,20,30,20,30
barcelona adrenaline activities,City PDP,Barcelona,Activities & experiences,Things to do block,50,25%,-29%,High,70,50,50,50,50,40,70,30,30,40,30,50
barcelona adventure activities,City PDP,Barcelona,Activities & experiences,Things to do block,50,0%,-20%,High,70,70,50,50,50,50,40,40,40,40,30,40
barcelona art pass,City PDP,Barcelona,Art & culture,Unclassified,50,-50%,-60%,Medium,50,40,70,70,50,40,50,40,30,40,40,20
barcelona attractions near me,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,50,67%,67%,High,50,50,90,50,70,70,50,30,30,30,20,50
barcelona beach april,City PDP,Barcelona,Beaches & water,Things to do block,50,89%,-19%,Low,90,10,20,10,20,10,30,30,50,90,90,170
barcelona beach in april,City PDP,Barcelona,Beaches & water,Things to do block,50,89%,-19%,Low,90,10,20,10,20,10,30,30,50,90,90,170
barcelona beach in december,City PDP,Barcelona,Beaches & water,Things to do block,50,0%,100%,Low,10,10,10,30,30,50,90,110,140,20,20,20
barcelona beach in september,City PDP,Barcelona,Beaches & water,Things to do block,50,250%,250%,Low,40,90,50,90,90,50,10,20,10,20,140,70
barcelona beach swimming,City PDP,Barcelona,Beaches & water,Things to do block,50,50%,-40%,Low,70,110,90,70,70,70,40,20,10,20,20,30
barcelona beach things to do,City PDP,Barcelona,Beaches & water,Things to do block,50,67%,-29%,High,90,110,90,50,70,50,50,30,40,30,30,50
barcelona best food spots,City PDP,Barcelona,Food & drink,Things to do block,50,75%,40%,Low,70,70,70,70,70,50,30,10,40,40,30,70
barcelona bus how to pay,City PDP,Barcelona,Misc & branded queries,Unclassified,50,50%,-40%,Low,90,90,90,70,50,70,50,30,40,20,40,30
barcelona bus ticket where to buy,City PDP,Barcelona,Getting there & local transport,Transport block,50,-50%,-89%,Medium,110,140,90,50,50,50,40,20,10,20,20,10
barcelona buses how to pay,City PDP,Barcelona,Misc & branded queries,Unclassified,50,33%,33%,Low,40,40,70,30,70,50,50,50,20,30,30,40
barcelona cool things to do,City PDP,Barcelona,Activities & experiences,Things to do block,50,67%,-29%,High,70,40,50,70,50,50,40,40,30,30,30,50
barcelona cultural attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,50,40%,0%,Low,30,140,50,20,20,20,50,30,40,50,40,70
barcelona delicacies,City PDP,Barcelona,Misc & branded queries,Unclassified,50,0%,-56%,Low,50,70,50,40,70,70,70,50,50,40,50,40
barcelona drink prices,City PDP,Barcelona,Food & drink,Unclassified,50,-20%,-56%,Low,90,70,90,90,70,50,40,20,30,50,50,40
barcelona famous things,City PDP,Barcelona,Misc & branded queries,Unclassified,50,25%,-29%,Low,50,50,50,70,70,50,70,50,50,40,50,50
barcelona food and drink prices,City PDP,Barcelona,Food & drink,Things to do block,50,-57%,-57%,Low,50,50,50,50,50,40,40,40,20,70,40,30
barcelona food restaurant,City PDP,Barcelona,Food & drink,Things to do block,50,100%,-43%,Low,70,40,90,50,50,70,70,30,40,20,30,40
barcelona fruit,City PDP,Barcelona,Misc & branded queries,Unclassified,50,40%,40%,Low,70,50,50,50,40,40,30,90,70,50,40,70
barcelona getting from airport to city,City PDP,Barcelona,Getting there & local transport,Unclassified,50,25%,-44%,Low,70,90,50,40,50,70,50,40,30,40,50,50
barcelona hip restaurants,City PDP,Barcelona,Food & drink,Things to do block,50,-44%,-64%,Medium,90,110,90,70,40,50,50,20,40,90,30,50
barcelona how to get from airport to city,City PDP,Barcelona,Getting there & local transport,Unclassified,50,25%,-44%,Low,70,90,50,40,50,70,50,40,30,40,50,50
barcelona in one day tour,City PDP,Barcelona,Nearby & day trips,Unclassified,50,-20%,0%,High,40,70,30,40,40,50,50,50,90,50,20,40
barcelona joan miro,City PDP,Barcelona,Misc & branded queries,Unclassified,50,33%,-56%,Medium,90,110,70,50,50,40,50,40,40,30,50,40
barcelona lebanese restaurant,City PDP,Barcelona,Food & drink,Things to do block,50,-25%,-40%,Low,50,210,70,40,50,40,40,40,30,40,50,30
barcelona metro day ticket,City PDP,Barcelona,Getting there & local transport,Transport block,50,100%,0%,Low,50,70,90,70,50,70,70,50,30,20,20,40
barcelona molecular gastronomy,City PDP,Barcelona,Food & drink,Unclassified,50,-20%,-43%,Low,70,70,50,50,40,70,40,30,30,50,30,40
barcelona monastery day trip,City PDP,Barcelona,Nearby & day trips,Unclassified,50,25%,-64%,High,90,70,50,50,70,90,90,20,30,40,50,50
barcelona montserrat train ticket,City PDP,Barcelona,Nature & outdoors,Nearby block,50,25%,-44%,Medium,70,40,40,40,40,40,70,40,20,40,40,50
barcelona national dish,City PDP,Barcelona,Misc & branded queries,Unclassified,50,67%,-29%,Low,50,90,50,50,50,40,50,40,20,30,50,50
barcelona prices food drink,City PDP,Barcelona,Food & drink,Things to do block,50,-57%,-57%,Low,50,50,50,50,50,40,40,40,20,70,40,30
barcelona rainy day activities,City PDP,Barcelona,Activities & experiences,Things to do block,50,57%,-21%,Medium,50,50,10,40,30,90,70,30,70,70,40,110
barcelona restaurant hours,City PDP,Barcelona,Food & drink,Things to do block,50,0%,-20%,Low,30,40,40,50,40,90,50,40,50,40,30,40
barcelona sea side,City PDP,Barcelona,Misc & branded queries,Unclassified,50,-20%,-20%,Medium,90,70,70,50,70,40,50,30,40,50,30,40
barcelona shopping guide,City PDP,Barcelona,Shopping,Things to do block,50,67%,-29%,Low,70,70,70,50,70,50,40,30,40,30,20,50
barcelona shopping sonntag,City PDP,Barcelona,Shopping,Things to do block,50,600%,-36%,Low,90,70,70,30,40,50,50,40,20,10,40,70
barcelona sightseeing tickets,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,50,75%,-36%,High,90,70,70,70,90,70,40,20,20,40,50,70
barcelona soho beach house,City PDP,Barcelona,Beaches & water,Things to do block,50,100%,-43%,Low,110,110,70,70,40,50,30,10,20,20,20,40
barcelona souvenir t shirt,City PDP,Barcelona,Misc & branded queries,Unclassified,50,250%,250%,Medium,40,40,50,50,50,50,90,70,30,20,50,70
barcelona specialities,City PDP,Barcelona,Misc & branded queries,Unclassified,50,-20%,-43%,Low,50,90,40,50,40,40,50,50,40,50,40,40
barcelona sustainable tourism,City PDP,Barcelona,Misc & branded queries,Unclassified,50,25%,-29%,Low,90,70,70,40,90,40,50,40,20,40,50,50
barcelona things to do at night,City PDP,Barcelona,Activities & experiences,Things to do block,50,25%,-44%,High,70,90,70,70,50,70,50,40,30,40,40,50
barcelona to france bus,City PDP,Barcelona,Misc & branded queries,Nearby block,50,-40%,-25%,Medium,50,50,70,70,90,70,70,50,40,50,40,30
barcelona to montserrat train ticket price,City PDP,Barcelona,Nature & outdoors,Nearby block,50,100%,-71%,Low,40,110,90,110,90,90,70,30,30,10,20,20
barcelona top 5 things to do,City PDP,Barcelona,Activities & experiences,Things to do block,50,25%,-29%,High,50,70,50,50,50,70,70,50,30,40,70,50
barcelona top food,City PDP,Barcelona,Food & drink,Things to do block,50,0%,-44%,Low,70,70,50,50,50,50,40,50,30,50,30,50
barcelona top things to do and see,City PDP,Barcelona,Activities & experiences,Things to do block,50,50%,-25%,Medium,70,70,50,40,70,50,40,30,30,20,40,30
barcelona tourism website,City PDP,Barcelona,Misc & branded queries,Unclassified,50,33%,-43%,Medium,70,90,50,50,50,70,50,50,40,30,50,40
barcelona valencia bus tickets,City PDP,Barcelona,Misc & branded queries,Nearby block,50,0%,33%,Medium,30,50,40,40,70,50,50,50,50,40,50,40
barcelona what to do today,City PDP,Barcelona,Activities & experiences,Things to do block,50,-33%,-60%,High,50,70,40,70,50,50,50,50,40,30,30,20
bbq restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,33%,-43%,Low,70,50,70,40,70,50,40,20,30,30,50,40
beach outside barcelona,City PDP,Barcelona,Beaches & water,Things to do block,50,50%,0%,Low,70,110,140,90,70,20,10,10,10,20,30,30
beaches near barcelona by train,City PDP,Barcelona,Beaches & water,Nearby block,50,0%,-78%,Low,110,110,140,110,90,50,20,10,10,20,10,20
beautiful beach barcelona,City PDP,Barcelona,Beaches & water,Things to do block,50,100%,0%,Medium,70,70,90,90,90,50,40,20,10,20,40,40
beautiful beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,50,100%,0%,Medium,70,70,90,90,90,50,40,20,10,20,40,40
best asian restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,80%,29%,Low,70,70,70,90,50,40,30,40,50,50,30,90
best authentic paella in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,200%,29%,Medium,50,50,70,50,50,50,40,30,10,30,70,90
best authentic tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,200%,125%,Low,70,50,70,50,90,70,50,30,30,30,50,90
best beach day trip from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,50,300%,-20%,High,70,70,110,90,70,50,10,10,10,10,30,40
best beach day trips from barcelona,City PDP,Barcelona,Nearby & day trips,Nearby block,50,300%,-20%,High,70,70,110,90,70,50,10,10,10,10,30,40
best beach to visit in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,50,67%,0%,Medium,70,90,90,90,90,70,40,30,40,30,50,50
best boutique shopping barcelona,City PDP,Barcelona,Shopping,Unclassified,50,100%,-20%,Low,50,70,110,90,90,40,70,30,20,20,20,40
best boutique shopping in barcelona,City PDP,Barcelona,Shopping,Things to do block,50,100%,-20%,Low,50,70,110,90,90,40,70,30,20,20,20,40
best boutiques barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,33%,-20%,Low,50,50,90,70,70,50,70,30,40,30,40,40
best cakes in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,0%,0%,Medium,90,50,40,50,40,30,50,70,20,50,40,50
best chicken paella in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,150%,0%,Medium,50,90,50,50,70,40,40,50,30,20,40,50
best day trips in barcelona,City PDP,Barcelona,Nearby & day trips,Unclassified,50,40%,0%,High,70,50,50,50,50,50,30,30,40,50,50,70
best day trips out of barcelona,City PDP,Barcelona,Nearby & day trips,Unclassified,50,40%,0%,High,70,50,50,50,50,50,30,30,40,50,50,70
best dinner spots barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,67%,-44%,Medium,50,50,70,70,70,70,50,10,10,30,40,50
best fish barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,150%,-29%,Low,50,50,70,90,40,70,30,30,30,20,40,50
best food gothic quarter barcelona,City PDP,Barcelona,Food & drink,Unclassified,50,300%,-43%,Low,70,70,50,70,40,70,40,10,20,10,30,40
best fried chicken in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,0%,-29%,Low,20,40,70,20,30,40,50,70,50,50,30,50
best greek restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,75%,40%,Low,50,50,90,50,50,40,70,50,40,40,30,70
best hamburgers barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,75%,-36%,Low,90,70,50,50,50,30,50,40,40,40,40,70
best jewelry stores barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,250%,0%,High,70,70,50,40,50,20,50,30,50,20,50,70
best local paella in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,150%,0%,Medium,70,50,70,50,50,40,50,30,30,20,30,50
best meat in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,0%,0%,Low,30,40,30,30,30,260,30,20,20,30,20,30
best olive oil in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,33%,0%,Medium,70,70,70,70,50,70,70,90,40,30,40,40
best pakistani restaurant in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,25%,150%,Low,70,90,40,40,30,30,20,40,40,40,50,50
best party spots in barcelona,City PDP,Barcelona,Nightlife,Unclassified,50,-33%,-78%,High,50,90,90,70,70,50,30,30,20,30,20,20
best places to eat gothic quarter barcelona,City PDP,Barcelona,Food & drink,Unclassified,50,33%,-71%,Medium,90,70,50,140,50,50,50,40,10,30,30,40
best places to go from barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,50,-29%,-55%,High,70,90,50,70,70,50,40,20,50,70,70,50
best places to visit from barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,50,-29%,-55%,High,70,90,50,70,70,50,40,20,50,70,70,50
best rated restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,67%,25%,Medium,30,50,70,50,70,70,70,20,20,30,40,50
best restaurants on the beach barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,50%,-73%,Medium,140,90,90,70,110,90,50,20,10,20,30,30
best restaurants to eat in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,50%,-57%,Medium,50,50,70,50,50,90,40,10,30,20,40,30
best restaurants with a view barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,50%,-25%,Medium,90,70,70,70,90,50,40,20,10,20,20,30
best restaurants with a view in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,67%,-55%,Medium,90,70,70,70,50,50,40,20,10,30,20,50
best salad in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,33%,-64%,Low,70,50,70,50,40,40,50,30,20,30,30,40
best seafood tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,-33%,-60%,Low,70,70,50,70,70,40,40,50,20,30,20,20
best thai food in barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,250%,0%,Low,50,40,70,70,40,40,50,40,40,20,40,70
best to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,50,0%,-29%,High,70,70,50,90,50,40,50,40,30,50,40,50
best vegetarian barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,0%,-43%,Low,50,110,50,70,70,70,50,30,30,40,40,40
best way to travel from barcelona to granada,City PDP,Barcelona,Nearby & day trips,Unclassified,50,-29%,-29%,Medium,50,50,50,50,50,50,40,20,40,70,70,50
black paella barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,133%,0%,Low,70,70,90,90,90,50,40,70,20,30,40,70
bombas barcelona food,City PDP,Barcelona,Food & drink,Things to do block,50,25%,-44%,Low,70,70,40,50,40,70,70,40,20,40,70,50
bormuth tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,0%,100%,Low,30,20,30,50,50,50,90,40,40,40,40,40
burger world barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,-25%,-57%,Low,70,70,70,110,110,40,50,30,40,40,10,30
bus 604 barcelona girona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,0%,-91%,Medium,110,110,70,70,50,70,50,10,10,10,10,10
cable car montserrat barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,50,40%,-50%,Low,110,50,50,50,40,50,50,70,20,50,70,70
calamari sandwich barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,133%,0%,Low,50,70,50,50,50,40,20,40,50,30,20,70
caribbean food barcelona,City PDP,Barcelona,Food & drink,Unclassified,50,150%,-29%,Low,50,70,50,70,70,40,50,40,30,20,30,50
casa brava barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,40%,40%,Low,40,70,50,70,70,50,30,30,20,50,30,70
casa de tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,50,0%,-43%,Low,70,90,50,40,50,50,50,40,20,40,40,40
catalan culture barcelona,City PDP,Barcelona,Art & culture,Unclassified,50,-29%,25%,Low,40,90,50,40,50,70,70,40,50,70,40,50
cava drink barcelona,City PDP,Barcelona,Food & drink,Unclassified,50,33%,0%,Low,70,70,70,90,40,70,70,40,30,30,30,40
cheap dinner barcelona,City PDP,Barcelona,Budget & value,Unclassified,50,0%,-67%,Low,50,70,70,90,40,30,50,30,20,30,50,30
churros near sagrada familia,City PDP,Barcelona,Misc & branded queries,Unclassified,50,0%,-56%,Low,40,50,70,70,70,70,70,50,50,40,70,40
coco beach barcelona,City PDP,Barcelona,Beaches & water,Things to do block,50,33%,33%,Low,30,70,140,110,90,70,40,30,30,30,20,40
collblanc barcelona metro,City PDP,Barcelona,Getting there & local transport,Unclassified,50,75%,40%,Low,40,70,70,50,50,40,50,50,40,40,40,70
cool places to visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,50,75%,0%,Medium,70,70,70,30,40,50,30,70,30,40,30,70
coolest neighborhood barcelona,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,50,0%,0%,Low,70,70,90,70,50,50,50,40,30,50,40,50
cost of drinks in barcelona,City PDP,Barcelona,Budget & value,Unclassified,50,-20%,-56%,Low,90,70,90,90,70,50,40,20,30,50,50,40
couscous barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,40%,-36%,Low,70,70,50,70,50,50,50,40,30,50,20,70
cultural sites in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,40%,0%,Low,30,140,50,20,20,20,50,30,40,50,40,70
dali museo barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,50,100%,-56%,Low,90,70,70,40,40,40,30,40,40,20,30,40
day trips from barcelona by public transport,City PDP,Barcelona,Nearby & day trips,Nearby block,50,75%,40%,Low,70,50,90,70,70,70,40,20,20,40,40,70
diagonal barcelona shopping,City PDP,Barcelona,Shopping,Things to do block,50,25%,-44%,Low,70,90,70,70,70,40,50,30,40,40,40,50
